epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.867,0.59247,3.62944,0.97312,0.00628,0.90909,0.01867,0.0168,0.44935,3.53258,1.07424,0,0,0
2,77.2436,0.49931,3.56472,0.87608,0.00633,0.90909,0.02217,0.01996,0.44175,3.53004,1.06691,1.50197e-05,1.50197e-05,1.50197e-05
3,116.54,0.47199,3.53828,0.90694,0.00643,0.90909,0.03371,0.03034,0.43103,3.52682,1.06335,2.67387e-05,2.67387e-05,2.67387e-05
4,160.869,0.46495,3.53634,0.94237,0.00654,0.90909,0.05294,0.04765,0.43365,3.52371,1.05625,3.5157e-05,3.5157e-05,3.5157e-05
5,184.935,0.32336,3.43834,0.84236,0.00654,0.90909,0.12262,0.11036,0.43964,3.5205,1.04943,4.02747e-05,4.02747e-05,4.02747e-05
6,205.014,0.38841,3.29713,0.83657,0.0067,0.90909,0.45283,0.40755,0.44088,3.51677,1.04659,4.20917e-05,4.20917e-05,4.20917e-05
7,226.649,0.37851,3.16066,0.8707,0.00656,0.90909,0.90532,0.81479,0.4428,3.51546,1.04625,4.06081e-05,4.06081e-05,4.06081e-05
8,248.795,0.4476,3.27428,0.92294,0.00647,0.90909,0.90532,0.90532,0.45619,3.51931,1.05447,3.58238e-05,3.58238e-05,3.58238e-05
9,274.001,0.31264,3.1463,0.80056,0.0065,0.90909,0.90532,0.90532,0.46544,3.51872,1.05787,2.77389e-05,2.77389e-05,2.77389e-05
10,293.874,0.27636,2.82487,0.86347,0.00642,0.90909,0.90532,0.90532,0.46992,3.51867,1.05901,1.63533e-05,1.63533e-05,1.63533e-05
